SeqId,NussinovFolderFolding Tns,
seq_120_22,3736500,
seq_120_23,2675500,
seq_120_24,2326400,
seq_120_25,2350800,
seq_120_26,2396000,
seq_120_27,2631100,
seq_120_28,4184100,
seq_120_29,3787200,
seq_120_30,3801800,
seq_120_31,4303100,
seq_120_32,3582400,
seq_120_33,3639000,
seq_120_34,3553000,
seq_120_35,2379700,
seq_120_36,2465100,
seq_120_37,2364200,
seq_120_38,2349400,
seq_120_39,2248400,
seq_120_40,2271200,
seq_120_41,2308200,
seq_120_42,2234100,
seq_120_43,2283600,
seq_120_44,2261400,
seq_120_45,2293000,
seq_120_46,2241700,
seq_120_47,2306600,
seq_120_48,2295800,
seq_120_49,3003100,
seq_120_50,2209400,
seq_120_51,2244800,
seq_120_52,2235000,
seq_120_53,2225500,
seq_120_54,2279300,
seq_120_55,2349600,
seq_120_56,3792100,
seq_120_57,3718400,
seq_120_58,3165100,
seq_120_59,2359800,
seq_120_60,2258500,
seq_120_61,4384900,
seq_120_62,3756200,
seq_120_63,3651900,
seq_120_64,3761300,
seq_120_65,3099300,
seq_120_66,2674600,
seq_120_67,2679200,
seq_120_68,2309900,
seq_120_69,2247700,
seq_120_70,2779000,
seq_120_71,2587600,
seq_120_72,2358900,
seq_120_73,2344400,
seq_120_74,2257500,
seq_120_75,2293200,
seq_120_76,2204200,
seq_120_77,2518100,
seq_120_78,2455000,
seq_120_79,2434300,
seq_120_80,2469200,
seq_120_81,2255300,
seq_120_82,2285800,
seq_120_83,2406600,
seq_120_84,2319500,
seq_120_85,2246400,
seq_120_86,2810100,
seq_120_87,2410100,
seq_120_88,2213900,
seq_120_89,3256300,
seq_120_90,3750300,
seq_120_91,3787800,
seq_120_92,3715200,
seq_120_93,3954200,
seq_120_94,3663900,
seq_120_95,3410300,
seq_120_96,3858600,
seq_120_97,3992100,
seq_120_98,3702900,
seq_120_99,3563300,
seq_130_0,3454200,
seq_130_1,2874200,
seq_130_2,5078300,
seq_130_3,4545900,
seq_130_4,4500000,
seq_130_5,4702200,
seq_130_6,4409700,
seq_130_7,4444600,
seq_130_8,4713200,
